Trade_open,Trade_close,Session,Position,Bias,Profile,Entry,Confirmation,Fvg_level,Stop_loss_pips,Take_profit_pips,Risk_to_reward,Risk_usd,Profit_loss,Trail_stop,Outcome,Balance,Duration,Duration_binned,Time_window,Day,Month,Year,Stop_loss_binned,Take_profit_binned,Risk_usd_binned,Risk_to_reward_binned
2024-06-26 12:31:06,2024-06-26 12:31:41,ny am,buy,olhc,london reversal,brkr,fvg,low,10.0,20.0,2.0,13.53,-13.53,no,loss,3225.35,0 days 00:00:35,below_2_hrs,12:00-16:00,Wednesday,June,2024,below_10_pips,below_21_pips,below_$20,0_to_2_rr
2024-06-28 14:55:31,2024-06-28 19:55:00,ny am,buy,olhc,ny reversal,brkr,fvg,medium,8.0,21.0,2.625,12.06,4.0,no,win,3229.35,0 days 04:59:29,above_2_hrs,12:00-16:00,Friday,June,2024,below_10_pips,below_21_pips,below_$20,2.6_to_3.2_rr
2024-07-05 15:18:56,2024-07-05 15:25:00,ny am,sell,ohlc,ny reversal,ob,fvg,medium,12.0,25.0,2.08333,24.0,-24.0,no,loss,3205.35,0 days 00:06:04,below_2_hrs,12:00-16:00,Friday,July,2024,10_to_12_pips,21_to_35_pips,$20_to_$25,2_to_2.6_rr
2024-07-05 15:25:00,2024-07-05 18:35:00,ny am,sell,ohlc,ny reversal,ob,fvg,low,11.0,28.0,2.54545,20.0,-20.0,no,loss,3185.35,0 days 03:10:00,above_2_hrs,12:00-16:00,Friday,July,2024,10_to_12_pips,21_to_35_pips,below_$20,2_to_2.6_rr
2024-07-09 14:17:02,2024-07-09 14:43:21,ny am,sell,ohlc,london reversal,ob,fvg,medium,7.0,16.0,2.28571,14.0,32.0,no,win,3217.35,0 days 00:26:19,below_2_hrs,12:00-16:00,Tuesday,July,2024,below_10_pips,below_21_pips,below_$20,2_to_2.6_rr
2024-07-17 18:11:21,2024-07-18 06:32:57,ny pm,buy,olhc,london expansion,brkr,fvg,low,13.0,26.0,2.0,26.0,-26.0,no,loss,3191.35,0 days 12:21:36,above_2_hrs,16:00-20:00,Wednesday,July,2024,above_12_pips,21_to_35_pips,above_$25,0_to_2_rr
2024-07-23 12:36:50,2024-07-23 12:57:21,ny am,buy,olhc,london expansion,ob,fvg,low,7.0,26.0,3.71429,14.0,-14.0,no,loss,3177.35,0 days 00:20:31,below_2_hrs,12:00-16:00,Tuesday,July,2024,below_10_pips,21_to_35_pips,below_$20,above_3.2_rr
2024-07-23 13:06:55,2024-07-23 19:03:03,ny am,buy,olhc,london reversal,ob,fvg,low,7.0,26.0,3.71429,18.0,-18.0,no,loss,3159.35,0 days 05:56:08,above_2_hrs,12:00-16:00,Tuesday,July,2024,below_10_pips,21_to_35_pips,below_$20,above_3.2_rr
2024-07-24 22:33:08,2024-07-25 01:59:16,ny pm,buy,olhc,london reversal,brkr,fvg,low,10.0,36.0,3.6,20.0,-20.0,no,loss,3139.35,0 days 03:26:08,above_2_hrs,16:00-20:00,Wednesday,July,2024,below_10_pips,above_35_pips,below_$20,above_3.2_rr
2024-08-01 14:11:34,2024-08-01 14:21:36,ny am,buy,olhc,london reversal,brkr,eq,,15.0,37.0,2.46667,30.0,-30.0,no,loss,3109.35,0 days 00:10:02,below_2_hrs,12:00-16:00,Thursday,August,2024,above_12_pips,above_35_pips,above_$25,2_to_2.6_rr
2024-08-08 13:32:29,2024-08-08 17:32:29,ny am,sell,ohlc,london reversal,brkr,vi,,12.0,28.0,2.33333,24.0,56.0,no,win,3165.35,0 days 04:00:00,above_2_hrs,12:00-16:00,Thursday,August,2024,10_to_12_pips,21_to_35_pips,$20_to_$25,2_to_2.6_rr
2024-08-09 13:55:50,2024-08-09 14:46:26,ny am,buy,olhc,ny reversal,brkr,eq,,11.0,30.0,2.72727,22.0,60.0,no,win,3225.35,0 days 00:50:36,below_2_hrs,12:00-16:00,Friday,August,2024,10_to_12_pips,21_to_35_pips,$20_to_$25,2.6_to_3.2_rr
